RidingId,PercentageVotes,Majority
59040,0.4,
59041,42.3,6731
59041,32.9,
59041,11.8,
59041,11.8,
59041,0.7,
59041,0.3,
59041,0.2,
59042,54.6,18889
59042,26.2,
59042,9.9,
59042,8.9,
59042,0.3,
59042,0.2,
60001,53.7,5959
60001,24.3,
60001,19.4,
60001,2.6,
61001,48.3,3389
61001,30.5,
61001,18.3,
61001,2.8,
62001,47.1,2448
62001,26.6,
62001,24.8,
62001,1.5,
